Student_ID,Gender,Branch,CGPA,SSC_Marks,HSC_Marks,Internships,Projects,Certifications,Backlogs,Aptitude_Score,Technical_Skill,Coding_Skill,Communication_Skill,Soft_Skill,Extracurricular_Score,Leadership_Score,Placement_Training,Workshops_Attended,Mock_Interview_Score,LinkedIn_GitHub_Activity,Employability_Score,Placed,Package_LPA
STU00082,Female,ECE,8.12,73.72,72.08,4,1,1,0,70.7,6.54,7.45,5.86,5.0,3.88,5.45,No,3,6.44,5.01,56.76,0,0.0
STU00083,Male,ECE,7.15,76.13,85.84,0,0,2,0,72.43,6.59,6.82,5.6,6.07,4.85,5.37,No,1,7.87,8.03,42.9,0,0.0
STU00084,Male,IT,6.65,87.93,81.0,2,1,1,0,46.88,4.81,2.37,7.5,7.75,2.16,7.74,No,1,5.57,5.31,49.66,0,0.0
STU00085,Male,ECE,6.33,80.83,72.15,0,5,1,1,64.27,9.49,8.29,5.05,5.94,5.9,5.77,No,2,6.38,5.94,47.18,0,0.0
STU00086,Male,ECE,5.32,55.23,76.55,1,6,0,0,81.81,5.6,6.11,5.46,6.33,5.93,5.7,No,0,7.1,3.79,51.91,0,0.0
STU00087,Male,EEE,6.77,75.77,71.16,0,3,1,1,43.03,4.08,5.22,9.11,7.47,5.13,5.15,Yes,3,7.59,2.87,38.42,0,0.0
STU00088,Female,MECH,7.92,100.0,55.09,1,4,2,2,49.62,9.79,8.45,8.28,8.54,3.27,6.72,Yes,0,5.04,0.0,46.08,0,0.0
STU00089,Male,EEE,7.36,71.77,77.14,0,2,2,0,54.27,4.75,3.07,6.06,4.83,7.17,5.18,Yes,0,2.88,4.29,37.71,0,0.0
STU00090,Male,ECE,7.62,76.2,66.43,1,1,1,0,58.5,5.97,7.26,5.52,5.24,2.47,0.91,Yes,3,6.89,8.52,50.73,1,7.24
STU00091,Male,MECH,6.67,79.47,92.73,0,2,2,0,78.14,5.62,4.44,5.98,6.05,5.01,3.57,No,2,3.54,8.25,37.25,0,0.0
STU00092,Female,MECH,7.22,81.82,82.0,0,5,0,0,31.45,4.84,8.05,5.37,4.12,7.11,6.88,No,2,7.82,9.23,34.25,0,0.0
STU00093,Female,IT,8.73,75.5,78.18,3,2,1,1,66.69,8.35,6.35,7.96,7.88,3.1,4.1,Yes,0,4.95,6.79,71.87,1,11.51
STU00094,Male,CSE,8.42,66.17,57.08,0,6,2,1,84.9,5.92,4.54,6.21,5.72,5.28,5.9,Yes,0,3.52,4.17,53.85,1,8.83
STU00095,Female,CSE,7.97,74.66,87.9,4,2,5,0,68.65,3.17,1.82,4.17,5.2,9.31,9.91,No,3,2.26,3.75,58.32,1,9.08
STU00096,Male,IT,7.27,82.94,85.58,0,2,2,0,29.15,6.53,7.6,9.53,8.67,4.51,2.19,Yes,1,2.76,5.55,54.58,1,10.17
STU00097,Female,CSE,7.5,74.57,81.84,3,1,2,4,55.35,8.03,7.97,3.19,5.6,3.51,3.56,No,1,1.66,10.0,48.49,1,8.7
STU00098,Female,IT,7.66,92.92,87.82,3,0,4,0,58.32,10.0,10.0,9.53,7.57,7.59,7.42,Yes,0,7.56,3.78,72.71,1,10.33
STU00099,Female,CSE,8.25,83.13,82.98,2,1,3,1,71.29,8.14,8.99,6.8,7.25,5.44,3.06,Yes,1,4.28,4.67,63.7,1,9.75
STU00100,Male,CIVIL,7.23,84.09,69.9,1,4,3,0,58.05,5.71,4.86,4.5,4.64,7.42,3.61,No,1,5.0,6.46,35.75,0,0.0
STU00101,Female,CIVIL,7.05,91.61,60.6,0,5,2,0,94.41,8.23,8.48,5.36,6.33,3.36,6.05,No,1,6.41,5.9,45.08,0,0.0
STU00102,Male,IT,7.57,68.53,68.11,0,4,0,2,62.28,4.45,5.81,5.74,5.25,7.1,3.93,Yes,2,5.21,7.17,43.09,1,8.53
STU00103,Female,CSE,4.52,76.66,90.65,0,1,3,1,78.67,6.16,6.4,5.15,5.32,6.85,7.65,Yes,1,5.5,6.38,41.19,0,0.0
STU00104,Male,IT,4.67,90.35,71.48,3,1,2,0,57.09,6.66,7.82,8.92,6.87,4.58,7.8,Yes,2,6.96,8.56,59.24,1,9.33
STU00105,Male,IT,7.86,78.41,63.98,0,5,0,0,57.89,4.21,1.14,5.88,7.87,7.23,4.96,No,1,5.03,2.28,52.49,1,9.0
STU00106,Male,CIVIL,8.9,75.62,77.11,0,0,1,2,23.09,6.46,7.65,3.9,5.49,6.99,0.0,Yes,0,3.81,3.29,22.02,0,0.0
STU00107,Male,EEE,7.22,80.31,61.14,0,1,2,2,50.91,4.0,4.3,7.05,7.44,8.98,2.77,Yes,1,5.08,6.07,34.82,0,0.0
STU00108,Male,CSE,7.12,67.11,73.29,4,3,1,0,52.46,6.4,7.41,5.15,7.33,1.33,3.76,Yes,1,5.35,6.03,66.69,1,9.24
STU00109,Female,IT,7.71,79.9,67.72,4,1,3,3,69.67,6.03,5.26,7.03,7.96,5.08,6.58,No,0,3.17,8.41,52.94,0,0.0
STU00110,Male,CSE,7.88,75.93,81.91,0,2,4,1,39.15,5.72,4.68,6.17,5.69,3.75,5.75,Yes,1,3.08,1.31,50.05,1,8.79
STU00111,Male,ECE,6.45,85.91,53.33,2,2,0,3,78.07,6.03,4.88,5.51,6.3,5.73,6.29,Yes,1,8.41,5.24,35.88,0,0.0
STU00112,Female,CIVIL,5.74,92.11,70.54,1,3,1,1,52.09,4.15,3.71,6.95,6.49,7.06,7.78,No,1,4.84,7.39,33.36,0,0.0
STU00113,Female,CSE,5.24,81.2,69.45,0,4,0,0,60.53,4.78,4.82,4.35,4.31,6.99,2.47,No,3,2.39,3.44,47.59,1,7.89
STU00114,Male,CSE,8.81,60.8,68.42,1,4,0,2,66.11,7.02,7.15,3.5,5.38,7.63,6.77,Yes,1,1.34,5.36,58.56,1,10.07
STU00115,Female,CIVIL,7.93,82.22,84.23,0,2,1,4,50.89,6.79,7.73,6.98,7.83,5.49,6.47,Yes,0,6.75,6.95,22.69,0,0.0
STU00116,Female,CSE,7.12,77.4,80.0,0,4,3,0,94.75,6.07,5.79,6.66,6.52,8.55,2.81,No,0,5.0,2.43,58.31,0,0.0
STU00117,Female,ECE,7.95,64.34,88.33,3,0,3,0,66.7,2.8,3.29,4.45,4.14,2.15,7.45,No,1,4.54,1.07,43.73,0,0.0
STU00118,Female,IT,8.56,91.87,87.61,2,1,1,1,56.7,5.05,4.44,3.36,3.62,5.67,8.33,No,1,4.4,2.45,41.22,0,0.0
STU00119,Male,CSE,6.19,67.96,77.28,1,0,0,3,63.25,5.02,4.69,9.04,8.59,2.64,6.83,Yes,4,6.96,2.36,40.15,0,0.0
STU00120,Female,CSE,8.89,75.85,78.04,1,4,3,0,62.79,5.54,5.15,3.44,4.63,6.59,4.15,No,4,6.26,3.01,59.68,0,0.0
STU00121,Male,MECH,6.72,61.93,94.25,2,2,3,0,86.87,6.53,6.25,4.87,4.88,3.48,3.17,Yes,1,6.73,8.42,46.57,1,7.33
STU00122,Female,MECH,5.66,80.07,90.59,2,3,0,0,74.26,6.28,7.2,3.28,4.87,7.28,4.41,No,2,9.35,3.27,44.51,0,0.0
STU00123,Female,IT,6.08,72.5,84.46,1,0,1,0,61.75,4.76,4.17,8.65,6.32,7.29,4.39,Yes,0,5.0,6.82,49.9,1,8.27
STU00124,Male,CSE,7.56,79.0,56.74,1,2,1,2,49.97,7.81,6.44,3.88,5.51,5.52,7.34,Yes,0,1.65,5.96,50.85,1,9.03
STU00125,Female,IT,7.87,82.74,64.81,0,4,1,0,79.56,7.65,6.16,6.29,5.58,2.73,4.52,Yes,2,4.94,1.83,58.54,1,9.54
STU00126,Male,ECE,7.69,91.42,49.36,2,4,0,0,80.27,5.57,6.22,9.97,8.19,3.48,4.26,Yes,2,4.08,3.91,56.8,0,0.0
STU00127,Male,CSE,6.87,77.5,100.0,2,4,1,0,41.98,6.51,8.62,6.83,6.73,5.38,7.69,Yes,2,3.13,4.53,62.02,1,9.74
STU00128,Female,EEE,6.9,87.41,80.46,0,3,0,0,62.8,5.47,7.08,4.37,4.63,2.74,1.76,Yes,1,8.67,4.35,45.42,0,0.0
STU00129,Female,CSE,8.26,75.99,74.93,2,4,2,0,70.23,8.62,9.47,7.54,6.84,8.6,5.9,No,2,3.95,3.98,72.68,1,10.95
STU00130,Female,EEE,7.44,85.84,78.42,1,3,0,0,44.22,7.68,6.92,4.49,4.64,3.99,6.87,Yes,0,5.22,5.51,44.04,0,0.0
STU00131,Female,MECH,6.48,86.55,62.99,3,3,1,0,78.02,7.08,5.94,6.99,5.4,7.37,2.29,No,2,4.25,6.34,50.46,0,0.0
STU00132,Male,IT,6.61,74.67,80.41,1,0,2,0,74.07,5.47,4.91,7.3,6.08,5.78,7.56,No,3,4.04,4.78,48.47,0,0.0
STU00133,Male,CSE,7.57,92.31,86.9,0,0,3,1,38.38,6.7,8.01,9.62,8.63,6.05,7.3,No,4,4.87,8.6,45.47,0,0.0
STU00134,Female,ECE,8.89,75.94,81.17,1,1,5,4,82.13,6.99,7.82,8.92,7.4,4.06,7.62,Yes,4,7.61,5.0,40.84,0,0.0
STU00135,Female,ECE,6.38,73.15,88.54,0,4,2,1,92.33,5.4,5.81,8.84,8.1,6.41,6.02,No,1,0.95,4.32,49.46,0,0.0
STU00136,Female,CIVIL,5.93,60.61,87.24,0,0,1,0,78.77,6.47,6.87,7.56,7.12,4.75,4.63,No,0,5.88,5.66,34.8,0,0.0
STU00137,Male,MECH,6.63,76.04,72.74,0,1,1,0,48.56,5.12,4.77,5.76,5.69,5.36,6.05,Yes,2,3.33,2.6,32.11,0,0.0
STU00138,Female,IT,6.81,74.21,78.65,1,5,0,0,27.47,5.73,7.35,6.68,6.53,3.16,2.44,No,0,5.53,3.05,51.91,0,0.0
STU00139,Female,IT,7.07,71.64,94.13,1,3,3,2,56.22,6.71,4.4,5.73,6.54,5.39,1.91,No,1,7.74,4.86,50.35,0,0.0
STU00140,Male,IT,6.8,73.08,78.79,0,6,0,1,55.68,10.0,8.52,7.32,4.98,7.4,3.04,No,0,6.22,2.91,51.94,0,0.0
STU00141,Male,MECH,5.98,80.21,88.4,1,1,2,2,52.76,5.04,5.62,4.33,5.71,6.4,4.32,Yes,0,6.46,7.83,26.39,0,0.0
STU00142,Male,IT,7.7,86.29,74.7,0,2,1,0,60.75,7.6,9.51,5.85,5.89,2.83,9.27,No,2,2.98,7.69,52.3,0,0.0
STU00143,Male,CSE,7.36,56.69,83.45,1,3,0,0,65.88,2.25,4.32,5.71,6.09,5.4,4.07,Yes,0,4.47,5.76,46.27,0,0.0
STU00144,Female,IT,8.03,92.29,68.24,0,4,1,1,75.37,6.2,5.44,5.92,7.19,5.8,3.45,Yes,4,3.33,6.16,55.3,1,10.12
STU00145,Female,IT,8.28,69.11,85.51,0,6,0,1,77.77,8.65,7.93,5.81,4.59,4.64,7.19,No,0,4.66,6.47,56.2,1,8.6
STU00146,Male,CIVIL,7.53,61.51,75.11,1,3,3,1,77.57,6.3,6.98,7.39,7.2,3.04,1.24,No,3,2.7,4.38,43.3,0,0.0
STU00147,Male,CSE,6.62,67.43,88.45,0,4,2,0,57.34,2.56,2.48,3.87,6.53,7.5,5.23,Yes,2,6.48,5.46,48.97,0,0.0
STU00148,Male,MECH,8.6,82.67,80.57,0,3,2,0,64.68,4.78,5.29,9.74,6.47,6.78,4.85,Yes,0,6.31,5.3,44.27,0,0.0
STU00149,Female,CSE,7.73,62.53,86.91,2,3,1,0,53.52,4.95,6.2,3.62,2.54,4.51,6.21,Yes,3,4.76,7.65,51.25,1,8.58
STU00150,Female,CSE,7.57,97.57,74.7,1,1,2,4,52.75,9.1,9.7,5.97,5.42,6.09,3.0,No,2,5.11,3.55,34.22,0,0.0
STU00151,Female,EEE,8.46,64.28,67.2,0,2,1,1,52.0,6.37,4.93,5.53,6.02,4.77,4.79,Yes,3,4.55,1.52,40.01,0,0.0
STU00152,Female,EEE,7.59,75.44,90.07,1,4,2,1,87.73,8.93,8.32,5.69,6.07,5.83,7.76,No,1,6.82,4.51,54.47,0,0.0
STU00153,Male,ECE,6.68,59.82,83.36,0,2,0,4,60.3,6.76,5.72,8.38,8.02,6.78,4.72,No,0,6.54,8.79,31.14,0,0.0
STU00154,Female,CSE,7.69,66.48,67.13,1,2,0,0,43.49,8.69,8.12,4.77,5.21,3.01,5.76,Yes,0,4.83,3.83,54.39,0,0.0
STU00155,Male,ECE,7.08,78.73,70.47,0,4,1,0,30.84,8.69,8.74,6.95,7.24,3.25,6.04,Yes,1,5.02,4.77,49.03,1,7.06
STU00156,Female,CSE,7.92,58.15,68.29,3,1,1,1,61.8,4.82,2.5,5.05,6.06,0.29,5.55,No,2,3.37,4.6,50.06,0,0.0
STU00157,Male,IT,6.77,79.58,73.94,2,1,2,0,54.51,4.2,3.29,3.71,4.45,7.65,6.13,No,3,3.51,4.24,45.03,0,0.0
STU00158,Male,CSE,8.66,84.05,87.27,1,5,1,0,38.35,9.18,6.98,4.87,6.35,5.96,7.04,No,2,6.48,6.53,60.59,1,10.19
STU00159,Female,IT,7.7,94.67,91.76,2,3,1,0,48.76,7.3,6.04,7.49,7.84,7.03,5.62,No,0,3.72,3.05,65.53,1,9.97
STU00160,Male,IT,7.79,76.14,71.46,0,3,1,0,52.17,4.43,4.7,6.33,7.46,9.79,3.3,Yes,2,5.5,6.45,50.9,0,0.0
STU00161,Female,CSE,7.45,59.42,81.64,2,4,3,3,67.37,4.41,3.56,8.22,8.26,4.98,5.1,No,1,6.7,9.46,48.69,0,0.0
STU00162,Female,MECH,6.78,70.4,78.16,1,4,3,0,38.64,4.64,4.67,5.69,6.33,10.0,5.22,Yes,2,3.98,1.81,40.95,0,0.0
STU00163,Male,IT,8.76,53.12,89.05,1,2,1,1,68.08,3.92,5.29,6.78,5.64,5.98,2.74,No,2,6.46,5.83,55.51,0,0.0
STU00164,Male,CSE,7.2,73.4,55.88,1,5,0,0,100.0,4.84,3.82,6.34,7.12,10.0,6.45,No,0,3.21,9.53,61.77,1,10.31
